Model,Published,Matched_py3810_xgb176,Modern_py314_xgb320,Modern_minus_Matched
OLS,-12.68,-12.68,-12.68,0.0
PLS,-5.19,-5.19,-5.19,0.0
PCR,0.23,0.23,0.23,0.0
LASSO,-1.37,-1.37,-1.37,0.0
ENet,-1.42,-1.42,-1.42,0.0
Ridge,-1.18,-1.18,-1.18,0.0
GBRT,-14.45,-14.45,-16.16,-1.71
RF,-7.17,-7.17,-9.75,-2.58
XGBoost,-34.95,-35.67,-11.66,24.01
SVR,-41.6,-41.6,-41.57,0.03
KNR,-17.19,-17.19,-17.19,0.0
NN1,-12.88,-7.03,-7.03,0.0
NN2,-5.02,-18.74,-18.74,0.0
NN3,-17.33,-4.76,-4.76,0.0
NN4,-10.85,-10.91,-10.91,0.0
NN5,-35.77,-17.69,-17.69,0.0
