Model,Full_R2,Full_CWp,NBER_rec_R2,NBER_rec_CWp,NBER_exp_R2,NBER_exp_CWp
PCR,0.43,0.025,0.67,0.215,0.35,0.031
Ridge,0.36,0.047,1.19,0.142,0.09,0.099
LASSO,0.51,0.034,0.63,0.241,0.47,0.041
ENet,0.29,0.068,0.14,0.343,0.34,0.062
PLS,-1.26,0.091,1.71,0.101,-2.25,0.228
OLS,-2.83,0.128,1.78,0.099,-4.37,0.278
RF,-3.14,0.181,0.1,0.388,-4.22,0.193
GBRT,-9.28,0.034,-1.17,0.564,-11.99,0.028
XGB,-21.74,0.026,-7.6,0.564,-26.47,0.015
NN3,-3.08,0.234,-2.17,0.658,-3.39,0.159
Mean,0.75,0.008,1.1,0.135,0.63,0.015
Median,0.4,0.073,0.69,0.226,0.3,0.1
