Model,R2_OOS,CW_p,SuccessRatio_pct,PT_p
OLS,-12.68,0.27,56.06,0.014
PLS,-5.19,0.275,55.54,0.091
PCR,0.23,0.033,59.19,0.001
LASSO,-1.37,0.212,58.67,0.03
ENet,-1.42,0.226,58.54,0.019
GBRT,-14.45,0.129,58.02,0.274
RF,-7.17,0.447,58.15,0.223
NN1,-12.88,0.915,58.28,0.178
NN2,-5.02,0.612,58.54,0.121
NN3,-17.33,0.144,54.5,0.689
NN4,-10.85,0.436,56.98,0.454
NN5,-35.77,0.81,58.93,0.169
Ridge,-1.18,0.18,58.54,0.055
SVR,-41.6,0.577,41.72,0.863
KNR,-17.19,0.341,54.37,0.069
XGB,-34.95,0.261,55.41,0.212
Mean,-1.58,0.271,58.02,0.08
Median,-1.03,0.389,58.93,0.101
HA (benchmark),0.0,,59.97,
