Variable,Mean,Std,Min,Max,AR1
equity premium,0.0053,0.0542,-0.339,0.346,0.081
DP,-3.3924,0.4665,-4.524,-1.873,0.993
DY,-3.3874,0.4643,-4.531,-1.913,0.993
EP,-2.7526,0.4195,-4.836,-1.775,0.987
SVAR,0.0029,0.0061,0.0,0.073,0.577
BM,0.5582,0.2674,0.121,2.028,0.986
NTIS,0.0162,0.0259,-0.056,0.177,0.982
TBL,3.3422,3.0724,0.01,16.3,0.993
LTR,0.4869,2.465,-11.24,15.23,0.043
TMS,1.6824,1.3016,-3.65,4.55,0.962
DFY,1.122,0.6835,0.32,5.64,0.975
DFR,0.0366,1.4069,-9.76,7.37,-0.102
INFL,0.24,0.5269,-2.055,5.882,0.481
MA_1_9,0.6791,0.467,0.0,1.0,0.695
MA_1_12,0.6906,0.4625,0.0,1.0,0.772
MA_2_9,0.6809,0.4664,0.0,1.0,0.771
MA_2_12,0.6888,0.4632,0.0,1.0,0.822
MA_3_9,0.6782,0.4674,0.0,1.0,0.789
MA_3_12,0.6879,0.4635,0.0,1.0,0.822
MOM_1,0.5949,0.4911,0.0,1.0,0.052
MOM_2,0.6197,0.4857,0.0,1.0,0.328
MOM_3,0.6356,0.4815,0.0,1.0,0.502
MOM_6,0.6667,0.4716,0.0,1.0,0.693
MOM_9,0.6844,0.465,0.0,1.0,0.766
MOM_12,0.6941,0.461,0.0,1.0,0.808
